id_match,home_team,away_team,home_score,away_score,home_score_total,away_score_total,winner,year,date,round,match_attendance
18,Republic of Ireland,Netherlands,0.0,1.0,0.0,1.0,Netherlands,1988,1988-06-18,GROUP_STANDINGS,64731.0
17,England,USSR,1.0,3.0,1.0,3.0,USSR,1988,1988-06-18,GROUP_STANDINGS,48335.0
9,West Germany,Spain,2.0,0.0,2.0,0.0,West Germany,1988,1988-06-17,GROUP_STANDINGS,63802.0
10,Italy,Denmark,2.0,0.0,2.0,0.0,Italy,1988,1988-06-17,GROUP_STANDINGS,53951.0
16,Republic of Ireland,USSR,1.0,1.0,1.0,1.0,,1988,1988-06-15,GROUP_STANDINGS,38308.0
15,England,Netherlands,1.0,3.0,1.0,3.0,Netherlands,1988,1988-06-15,GROUP_STANDINGS,63940.0
8,Italy,Spain,1.0,0.0,1.0,0.0,Italy,1988,1988-06-14,GROUP_STANDINGS,47506.0
7,West Germany,Denmark,2.0,0.0,2.0,0.0,West Germany,1988,1988-06-14,GROUP_STANDINGS,64812.0
14,Netherlands,USSR,0.0,1.0,0.0,1.0,USSR,1988,1988-06-12,GROUP_STANDINGS,54336.0
13,England,Republic of Ireland,0.0,1.0,0.0,1.0,Republic of Ireland,1988,1988-06-12,GROUP_STANDINGS,51373.0
6,Denmark,Spain,2.0,3.0,2.0,3.0,Spain,1988,1988-06-11,GROUP_STANDINGS,55707.0
5,West Germany,Italy,1.0,1.0,1.0,1.0,,1988,1988-06-10,GROUP_STANDINGS,62552.0
6098,Denmark,Germany,2.0,0.0,2.0,0.0,Denmark,1992,1992-06-26,FINAL,37800.0
6097,Netherlands,Denmark,2.0,2.0,2.0,2.0,Denmark,1992,1992-06-22,SEMIFINAL,37450.0
6096,Sweden,Germany,2.0,3.0,2.0,3.0,Germany,1992,1992-06-21,SEMIFINAL,27827.0
5098,Scotland,Commonwealth of Independent States,3.0,0.0,3.0,0.0,Scotland,1992,1992-06-18,GROUP_STANDINGS,14660.0
5097,Netherlands,Germany,3.0,1.0,3.0,1.0,Netherlands,1992,1992-06-18,GROUP_STANDINGS,37725.0
5092,France,Denmark,1.0,2.0,1.0,2.0,Denmark,1992,1992-06-17,GROUP_STANDINGS,25763.0
5091,Sweden,England,2.0,1.0,2.0,1.0,Sweden,1992,1992-06-17,GROUP_STANDINGS,30126.0
5096,Netherlands,Commonwealth of Independent States,0.0,0.0,0.0,0.0,,1992,1992-06-15,GROUP_STANDINGS,34440.0
5095,Scotland,Germany,0.0,2.0,0.0,2.0,Germany,1992,1992-06-15,GROUP_STANDINGS,17800.0
5090,Sweden,Denmark,1.0,0.0,1.0,0.0,Sweden,1992,1992-06-14,GROUP_STANDINGS,29902.0
5089,France,England,0.0,0.0,0.0,0.0,,1992,1992-06-14,GROUP_STANDINGS,26535.0
5094,Commonwealth of Independent States,Germany,1.0,1.0,1.0,1.0,,1992,1992-06-12,GROUP_STANDINGS,17700.0
5093,Netherlands,Scotland,1.0,0.0,1.0,0.0,Netherlands,1992,1992-06-12,GROUP_STANDINGS,35720.0
5108,Denmark,England,0.0,0.0,0.0,0.0,,1992,1992-06-11,GROUP_STANDINGS,26385.0
5099,Sweden,France,1.0,1.0,1.0,1.0,,1992,1992-06-10,GROUP_STANDINGS,30000.0
52917,Czechia,Germany,1.0,1.0,1.0,2.0,Germany,1996,1996-06-30,FINAL,73611.0
52916,Germany,England,1.0,1.0,1.0,1.0,Germany,1996,1996-06-26,SEMIFINAL,75862.0
52915,France,Czechia,0.0,0.0,0.0,0.0,Czechia,1996,1996-06-26,SEMIFINAL,43877.0
52914,Czechia,Portugal,1.0,0.0,1.0,0.0,Czechia,1996,1996-06-23,QUARTER_FINALS,26832.0
52913,Germany,Croatia,2.0,1.0,2.0,1.0,Germany,1996,1996-06-23,QUARTER_FINALS,43412.0
52912,France,Netherlands,0.0,0.0,0.0,0.0,France,1996,1996-06-22,QUARTER_FINALS,37465.0
52911,Spain,England,0.0,0.0,0.0,0.0,England,1996,1996-06-22,QUARTER_FINALS,75440.0
52511,Italy,Germany,0.0,0.0,0.0,0.0,,1996,1996-06-19,GROUP_STANDINGS,53740.0
52510,Russia,Czechia,3.0,3.0,3.0,3.0,,1996,1996-06-19,GROUP_STANDINGS,21128.0
52517,Türkiye,Denmark,0.0,3.0,0.0,3.0,Denmark,1996,1996-06-19,GROUP_STANDINGS,28951.0
52516,Croatia,Portugal,0.0,3.0,0.0,3.0,Portugal,1996,1996-06-19,GROUP_STANDINGS,20484.0
52487,Netherlands,England,1.0,4.0,1.0,4.0,England,1996,1996-06-18,GROUP_STANDINGS,76798.0
52486,Scotland,Switzerland,1.0,0.0,1.0,0.0,Scotland,1996,1996-06-18,GROUP_STANDINGS,34926.0
52505,Romania,Spain,1.0,2.0,1.0,2.0,Spain,1996,1996-06-18,GROUP_STANDINGS,32719.0
52504,France,Bulgaria,3.0,1.0,3.0,1.0,France,1996,1996-06-18,GROUP_STANDINGS,26976.0
52515,Croatia,Denmark,3.0,0.0,3.0,0.0,Croatia,1996,1996-06-16,GROUP_STANDINGS,33671.0
52509,Russia,Germany,0.0,3.0,0.0,3.0,Germany,1996,1996-06-16,GROUP_STANDINGS,50760.0
52503,France,Spain,1.0,1.0,1.0,1.0,,1996,1996-06-15,GROUP_STANDINGS,35626.0
52485,Scotland,England,0.0,2.0,0.0,2.0,England,1996,1996-06-15,GROUP_STANDINGS,76864.0
52508,Czechia,Italy,2.0,1.0,2.0,1.0,Czechia,1996,1996-06-14,GROUP_STANDINGS,37320.0
52514,Portugal,Türkiye,1.0,0.0,1.0,0.0,Portugal,1996,1996-06-14,GROUP_STANDINGS,22670.0
52484,Switzerland,Netherlands,0.0,2.0,0.0,2.0,Netherlands,1996,1996-06-13,GROUP_STANDINGS,36800.0
52502,Bulgaria,Romania,1.0,0.0,1.0,0.0,Bulgaria,1996,1996-06-13,GROUP_STANDINGS,19107.0
52513,Türkiye,Croatia,0.0,1.0,0.0,1.0,Croatia,1996,1996-06-11,GROUP_STANDINGS,22460.0
52507,Italy,Russia,2.0,1.0,2.0,1.0,Italy,1996,1996-06-11,GROUP_STANDINGS,35120.0
52501,Romania,France,0.0,1.0,0.0,1.0,France,1996,1996-06-10,GROUP_STANDINGS,26323.0
52483,Netherlands,Scotland,0.0,0.0,0.0,0.0,,1996,1996-06-10,GROUP_STANDINGS,34363.0
52512,Denmark,Portugal,1.0,1.0,1.0,1.0,,1996,1996-06-09,GROUP_STANDINGS,34993.0
52506,Germany,Czechia,2.0,0.0,2.0,0.0,Germany,1996,1996-06-09,GROUP_STANDINGS,37300.0
52500,Spain,Bulgaria,1.0,1.0,1.0,1.0,,1996,1996-06-09,GROUP_STANDINGS,24006.0
52482,England,Switzerland,1.0,1.0,1.0,1.0,,1996,1996-06-08,GROUP_STANDINGS,76567.0
65299,France,Italy,1.0,1.0,2.0,1.0,France,2000,2000-07-02,FINAL,50000.0
65184,Italy,Netherlands,0.0,0.0,0.0,0.0,Italy,2000,2000-06-29,SEMIFINAL,50000.0
65183,France,Portugal,1.0,1.0,2.0,1.0,France,2000,2000-06-28,SEMIFINAL,48000.0
65182,Spain,France,1.0,2.0,1.0,2.0,France,2000,2000-06-25,QUARTER_FINALS,26614.0
65181,Netherlands,Yugoslavia,6.0,1.0,6.0,1.0,Netherlands,2000,2000-06-25,QUARTER_FINALS,44000.0
65180,Italy,Romania,2.0,0.0,2.0,0.0,Italy,2000,2000-06-24,QUARTER_FINALS,41000.0
65179,Türkiye,Portugal,0.0,2.0,0.0,2.0,Portugal,2000,2000-06-24,QUARTER_FINALS,42000.0
64868,France,Netherlands,2.0,3.0,2.0,3.0,Netherlands,2000,2000-06-21,GROUP_STANDINGS,50000.0
64867,Denmark,Czechia,0.0,2.0,0.0,2.0,Czechia,2000,2000-06-21,GROUP_STANDINGS,20000.0
64862,Slovenia,Norway,0.0,0.0,0.0,0.0,,2000,2000-06-21,GROUP_STANDINGS,21000.0
64861,Yugoslavia,Spain,3.0,4.0,3.0,4.0,Spain,2000,2000-06-21,GROUP_STANDINGS,26611.0
64850,Portugal,Germany,3.0,0.0,3.0,0.0,Portugal,2000,2000-06-20,GROUP_STANDINGS,44000.0
64849,England,Romania,2.0,3.0,2.0,3.0,Romania,2000,2000-06-20,GROUP_STANDINGS,30000.0
64856,Italy,Sweden,2.0,1.0,2.0,1.0,Italy,2000,2000-06-19,GROUP_STANDINGS,30000.0
64855,Türkiye,Belgium,2.0,0.0,2.0,0.0,Türkiye,2000,2000-06-19,GROUP_STANDINGS,48000.0
64859,Norway,Yugoslavia,0.0,1.0,0.0,1.0,Yugoslavia,2000,2000-06-18,GROUP_STANDINGS,28750.0
64860,Slovenia,Spain,1.0,2.0,1.0,2.0,Spain,2000,2000-06-18,GROUP_STANDINGS,51300.0
64847,England,Germany,1.0,0.0,1.0,0.0,England,2000,2000-06-17,GROUP_STANDINGS,29000.0
64848,Romania,Portugal,0.0,1.0,0.0,1.0,Portugal,2000,2000-06-17,GROUP_STANDINGS,28400.0
64866,Denmark,Netherlands,0.0,3.0,0.0,3.0,Netherlands,2000,2000-06-16,GROUP_STANDINGS,51425.0
64865,Czechia,France,1.0,2.0,1.0,2.0,France,2000,2000-06-16,GROUP_STANDINGS,27243.0
64854,Sweden,Türkiye,0.0,0.0,0.0,0.0,,2000,2000-06-15,GROUP_STANDINGS,27000.0
64853,Italy,Belgium,2.0,0.0,2.0,0.0,Italy,2000,2000-06-14,GROUP_STANDINGS,44500.0
64857,Yugoslavia,Slovenia,3.0,3.0,3.0,3.0,,2000,2000-06-13,GROUP_STANDINGS,18500.0
64858,Spain,Norway,0.0,1.0,0.0,1.0,Norway,2000,2000-06-13,GROUP_STANDINGS,41000.0
64846,Portugal,England,3.0,2.0,3.0,2.0,Portugal,2000,2000-06-12,GROUP_STANDINGS,31500.0
64845,Germany,Romania,1.0,1.0,1.0,1.0,,2000,2000-06-12,GROUP_STANDINGS,28500.0
64864,Netherlands,Czechia,1.0,0.0,1.0,0.0,Netherlands,2000,2000-06-11,GROUP_STANDINGS,50800.0
64863,France,Denmark,3.0,0.0,3.0,0.0,France,2000,2000-06-11,GROUP_STANDINGS,28100.0
64852,Türkiye,Italy,1.0,2.0,1.0,2.0,Italy,2000,2000-06-11,GROUP_STANDINGS,22500.0
64851,Belgium,Sweden,2.0,1.0,2.0,1.0,Belgium,2000,2000-06-10,GROUP_STANDINGS,46700.0
79185,Portugal,Greece,0.0,1.0,0.0,1.0,Greece,2004,2004-07-04,FINAL,62865.0
79108,Greece,Czechia,0.0,0.0,1.0,0.0,Greece,2004,2004-07-01,SEMIFINAL,42449.0
79107,Portugal,Netherlands,2.0,1.0,2.0,1.0,Portugal,2004,2004-06-30,SEMIFINAL,46679.0
79000,Czechia,Denmark,3.0,0.0,3.0,0.0,Czechia,2004,2004-06-27,QUARTER_FINALS,41092.0
78999,Sweden,Netherlands,0.0,0.0,0.0,0.0,Netherlands,2004,2004-06-26,QUARTER_FINALS,27762.0
